Diploma in Business Information Systems,Computing, Colombo / Kandy / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-business-information-systems/
Diploma in Information and Communication Technology,Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time / Part Time,1.5 Years,https://www.nibm.lk/programmes/diploma-in-information-and-communication-technology/
Diploma in Network Engineering (Part Time),Computing, Colombo / , Diploma ,Part Time,1 Year,https://www.nibm.lk/programmes/diploma-in-network-engineering-part-time/
Diploma in Software Engineering (Full Time),Computing, Kurunagala / Colombo / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-software-engineering-full-time/
Diploma in Software Engineering (Part Time),Computing, Colombo / Kandy / Kurunagala / Matara / , Diploma ,Part Time,1 Year,https://www.nibm.lk/programmes/diploma-in-software-engineering-dse-part-time/
Diploma in Management Information Systems (Part Time),Computing, Colombo / , Diploma ,Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-management-information-systems-dmis-part-time/
Diploma in Network Engineering (Full Time),Computing, Colombo / Kandy / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-network-engineering-dne-full-time/
Diploma in Computer System Design (Full Time),Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-full-time/
Diploma in Computer System Design (Part Time),Computing, Colombo / Galle / Kandy / Kurunagala / , Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-part-time-weekend/
Diploma in Quantity Surveying,Engineering, Colombo / Kandy / , Diploma ,Full Time / Part Time,1 Year,https://www.nibm.lk/programmes/diploma-in-quantity-surveying/
Diploma in English (for after A/L Students),Languages, Colombo / Galle / Kandy / Kirulapone / Kurunagala / Matara / , Diploma ,Full Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-after-a-l-students/
Diploma in English for Professionals,Languages, Colombo / Galle / Kandy / Kurunagala / , Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-professionals/
Diploma in Business Information Systems,Computing, Colombo / Kandy / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-business-information-systems/
Diploma in Information and Communication Technology,Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time / Part Time,1.5 Years,https://www.nibm.lk/programmes/diploma-in-information-and-communication-technology/
Diploma in Software Engineering (Part Time),Computing, Colombo / Kandy / Kurunagala / Matara / , Diploma ,Part Time,1 Year,https://www.nibm.lk/programmes/diploma-in-software-engineering-dse-part-time/
Diploma in Computer System Design (Full Time),Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-full-time/
Diploma in Computer System Design (Part Time),Computing, Colombo / Galle / Kandy / Kurunagala / , Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-part-time-weekend/
Diploma in English (for after A/L Students),Languages, Colombo / Galle / Kandy / Kirulapone / Kurunagala / Matara / , Diploma ,Full Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-after-a-l-students/
Diploma in English for Professionals,Languages, Colombo / Galle / Kandy / Kurunagala / , Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-professionals/
Diploma in Quantity Surveying,Engineering, Colombo / Kandy / , Diploma ,Full Time / Part Time,1 Year,https://www.nibm.lk/programmes/diploma-in-quantity-surveying/
Diploma in Fashion Technology for Men’s Wear,Design, Kirulapone / , Diploma ,Part Time,1 Year,https://www.nibm.lk/programmes/diploma-in-fashion-technology-for-mens-wear/
Diploma In Interior Architecture- Part time,Design, Kirulapone / , Diploma ,Part time,1 Year,https://www.nibm.lk/programmes/diploma-in-interior-architecture-part-time/
Diploma in Journalism and Media Studies,Humanities, Kirulapone / , Diploma ,1 Year,Part Time,https://www.nibm.lk/programmes/diploma-in-journalism-and-media-studies/
Diploma in Sound and Music Technology,Design, Kirulapone / , Diploma ,Full Time,02 years,https://www.nibm.lk/programmes/diploma-in-sound-and-music-technology/
Diploma in English (for after A/L Students),Languages, Colombo / Galle / Kandy / Kirulapone / Kurunagala / Matara / , Diploma ,Full Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-after-a-l-students/
Diploma in Information and Communication Technology,Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time / Part Time,1.5 Years,https://www.nibm.lk/programmes/diploma-in-information-and-communication-technology/
Diploma in Software Engineering (Part Time),Computing, Colombo / Kandy / Kurunagala / Matara / , Diploma ,Part Time,1 Year,https://www.nibm.lk/programmes/diploma-in-software-engineering-dse-part-time/
Diploma in Computer System Design (Full Time),Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-full-time/
Diploma in Computer System Design (Part Time),Computing, Colombo / Galle / Kandy / Kurunagala / , Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-part-time-weekend/
Diploma in English (for after A/L Students),Languages, Colombo / Galle / Kandy / Kirulapone / Kurunagala / Matara / , Diploma ,Full Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-after-a-l-students/
Diploma in English for Professionals,Languages, Colombo / Galle / Kandy / Kurunagala / , Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-professionals/
Diploma in Software Engineering (Full Time),Computing, Kurunagala / Colombo / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-software-engineering-full-time/
Diploma in Information and Communication Technology,Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time / Part Time,1.5 Years,https://www.nibm.lk/programmes/diploma-in-information-and-communication-technology/
Diploma in Computer System Design (Full Time),Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-full-time/
Diploma in Computer System Design (Part Time),Computing, Colombo / Galle / Kandy / Kurunagala / , Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-part-time-weekend/
Diploma in English (for after A/L Students),Languages, Colombo / Galle / Kandy / Kirulapone / Kurunagala / Matara / , Diploma ,Full Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-after-a-l-students/
Diploma in English for Professionals,Languages, Colombo / Galle / Kandy / Kurunagala / , Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-professionals/
Diploma in Information and Communication Technology,Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time / Part Time,1.5 Years,https://www.nibm.lk/programmes/diploma-in-information-and-communication-technology/
Diploma in Computer System Design (Full Time),Computing, Colombo / Galle / Kandy / Kurunagala / Matara / , Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/diploma-in-computer-system-design-dcsd-full-time/
Diploma in English (for after A/L Students),Languages, Colombo / Galle / Kandy / Kirulapone / Kurunagala / Matara / , Diploma ,Full Time / Weekend,1 Year,https://www.nibm.lk/programmes/diploma-in-english-for-after-a-l-students/
